project_slug,project_name,market_cap_usd,price_usd,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_invested
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,cherry-ventures,Cherry Ventures,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,brevan-howard,Brevan Howard,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,manifold-trading,Manifold Trading,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,leadblock-bitpanda-ventures,LeadBlock Bitpanda Ventures,2777777.777777778
optimism,OP,613166773.55,0.3155,90000000.0,0.14677899045138176,1,a16z-andreessen-horowitz,Andreessen Horowitz (a16z),90000000.0
myx-finance,MYX,591383713.04,3.103,5000000.0,0.008454747551801128,5,hashkey-capital,HashKey Capital,1000000.0
myx-finance,MYX,591383713.04,3.103,5000000.0,0.008454747551801128,5,d11-labs,D11 Labs,1000000.0
myx-finance,MYX,591383713.04,3.103,5000000.0,0.008454747551801128,5,metalpha,Metalpha,1000000.0
myx-finance,MYX,591383713.04,3.103,5000000.0,0.008454747551801128,5,fl-foundation,FL Foundation,1000000.0
myx-finance,MYX,591383713.04,3.103,5000000.0,0.008454747551801128,5,woyong,Woyong,1000000.0
celestia,TIA,493960405.46,0.58,100000000.0,0.20244537597477097,5,1kx,1kx,20000000.0
celestia,TIA,493960405.46,0.58,100000000.0,0.20244537597477097,5,robot-ventures,Robot Ventures,20000000.0
celestia,TIA,493960405.46,0.58,100000000.0,0.20244537597477097,5,placeholder,Placeholder,20000000.0
celestia,TIA,493960405.46,0.58,100000000.0,0.20244537597477097,5,bain-capital-crypto,Bain Capital Crypto,20000000.0
celestia,TIA,493960405.46,0.58,100000000.0,0.20244537597477097,5,syncracy-capital,Syncracy Capital,20000000.0
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,arrington-xrp-arrington-capital,Arrington Capital,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,stani-kulechov,Stani Kulechov,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,4rc,4RC,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,parallel-ventures,Parallel Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,pulsar,Pulsar,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,lvna-capital,Lvna Capital,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,bankless,Bankless,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,bullish,Bullish,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,selini-capital,Selini Capital,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,amber-group,Amber Group,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,foresight-ventures,Foresight Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,coinfund,CoinFund,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,node-capital,Node Capital,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,okx-ventures,OKX Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,consensys,ConsenSys,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,draper-dragon,Draper Dragon,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,collider-ventures,Collider Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,white-star-capital,White Star Capital,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,north-island-ventures,North Island Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,defi-dad,DeFi Dad,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,mr-block,Mr. Block,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,punk-ventures,Punk Ventures,1173913.043478261
ether-fi,ETHFI,488877152.94,0.804,27000000.00000001,0.05522859850910997,23,relayer-capital,Relayer Capital,1173913.043478261
